,IMDB ID,MPAA,genres,in release,movie name,opening,release date,running time,widest release
39,tt4159698,N/A,Horror,416,The Fianc̩,4812,"Nov 11, 2016
            -
            Mar 16, 2017",1.32,4
40,tt5112578,N/A,"Crime
    
        Drama
    
        Horror
    
        Thriller",94,Super Dark Times,19328,"Sep 29, 2017
            -
            Oct 29, 2017",1.72,21
41,tt0327679,PG,"Comedy
    
        Family
    
        Fantasy
    
        Romance",267,Ella Enchanted,6100000,"Apr 9, 2004
            -
            Aug 12, 2004",1.6,2149
42,tt2702724,R,Comedy,268,The Boss,23586645,"Apr 8, 2016
            -
            Aug 4, 2016",1.65,3495
43,tt0361309,R,"Drama
    
        Romance",141,We Don't Live Here Anymore,101295,"Aug 13, 2004
            -
            Oct 28, 2004",1.6800000000000002,190
44,tt4594834,R,"Comedy
    
        Crime
    
        Drama
    
        Musical",394,Chi-Raq,1198453,"Dec 4, 2015
            -
            Jan 28, 2016",2.12,305
45,tt2566644,N/A,"Comedy
    
        Drama
    
        Music
    
        Romance",198,Seoul Searching,8966,"Jun 17, 2016
            -
            Jun 26, 2016",1.75,2
46,tt5952468,R,Documentary,185,The B-Side: Elsa Dorfman's Portrait Photography,12035,"Jun 30, 2017
            -
            Aug 10, 2017",1.27,25
47,tt3262342,PG-13,"Animation
    
        Biography
    
        Crime
    
        Drama
    
        Family
    
        Mystery",466,Loving Vincent,23180,"Sep 22, 2017
            -
            Mar 22, 2018",1.5699999999999998,218
48,tt6333058,N/A,Documentary,91,Dina,6015,"Oct 6, 2017
            -
            Nov 23, 2017",1.72,24
49,tt0974015,PG-13,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",410,Justice League,93842239,"Nov 17, 2017
            -
            Mar 15, 2018",N/A,4051
50,tt0368447,PG-13,"Drama
    
        Mystery
    
        Thriller",161,The Village,50746142,"Jul 30, 2004
            -
            Dec 2, 2004",1.8,3733
51,tt1355644,PG-13,"Drama
    
        Romance
    
        Sci-Fi
    
        Thriller",376,Passengers,14869736,"Dec 21, 2016
            -
            Apr 20, 2017",1.9300000000000002,3478
52,tt3741834,PG-13,"Biography
    
        Drama",402,Lion,123360,"Nov 25, 2016 (Jan 6, 2017)
            -
            May 11, 2017",1.97,1802
53,tt3467914,PG,"Biography
    
        Drama
    
        Romance
    
        Sport",262,Tommy's Honour,209190,"Apr 14, 2017
            -
            Jun 1, 2017",1.87,167
54,tt5580036,R,"Biography
    
        Comedy
    
        Drama
    
        Sport",389,"I, Tonya",264155,"Dec 8, 2017 (Jan 19, 2018)
            -
            Apr 19, 2018",1.98,1450
55,tt6333066,N/A,Documentary,115,Trophy,3522,"Sep 8, 2017
            -
            Oct 26, 2017",1.8,21
56,tt0368578,PG,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Romance",345,Are We There Yet?,18575214,"Jan 21, 2005
            -
            Jun 16, 2005",1.58,2810
57,tt1386697,PG-13,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",154,Suicide Squad,133682248,"Aug 5, 2016
            -
            Nov 10, 2016",2.05,4255
58,tt3195742,G,Documentary,2,Journey to the South Pacific,8137,"Nov 27, 2013",4.0,19
59,tt4587656,PG,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",410,The Star,9812674,"Nov 17, 2017
            -
            Feb 15, 2018",1.43,2976
60,tt4572514,R,"Action
    
        Crime
    
        Drama
    
        History
    
        Thriller",376,Patriots Day,161306,"Dec 21, 2016 (Jan 13, 2017)
            -
            Mar 9, 2017",2.22,3120
61,tt1661275,R,"Comedy
    
        Drama
    
        Romance
    
        War",269,Their Finest,76197,"Apr 7, 2017
            -
            Jun 22, 2017",1.95,330
62,tt3890160,R,"Action
    
        Crime
    
        Drama
    
        Music
    
        Thriller",187,Baby Driver,20553320,"Jun 28, 2017
            -
            Oct 19, 2017",1.88,3226
63,tt0241527,N/A,N/A,79,Harry  Potter IMAX Marathon,1357376,"Oct 14, 2016
            -
            Oct 20, 2016",19.65,330
64,tt1806913,N/A,"Action
    
        Comedy
    
        Fantasy
    
        Horror",73,Golmaal Again,1013893,"Oct 20, 2017
            -
            Oct 22, 2017",2.33,265
65,tt2404233,PG-13,"Action
    
        Adventure
    
        Fantasy",310,Gods of Egypt,14123903,"Feb 26, 2016
            -
            May 12, 2016",2.12,3117
66,tt3717490,PG-13,"Action
    
        Adventure
    
        Sci-Fi",283,Power Rangers,40300288,"Mar 24, 2017
            -
            Jun 1, 2017",2.07,3693
67,tt4379728,N/A,"Action
    
        Crime
    
        Thriller",191,Three,58196,"Jun 24, 2016
            -
            Jul 28, 2016",1.47,23
68,tt4272866,PG-13,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy",303,The Boy and the Beast,274247,"Mar 4, 2016
            -
            Mar 31, 2016",1.98,123
69,tt4977530,N/A,"Biography
    
        Drama
    
        History
    
        Romance",126,Viceroy's House,48134,"Sep 1, 2017
            -
            Nov 9, 2017",1.77,116
70,tt1139592,N/A,"Action
    
        Horror
    
        Mystery
    
        Thriller",97,Jeepers Creepers III,19151,"Sep 26, 2017
            -
            Oct 5, 2017",1.67,669
71,tt0335121,PG-13,"Action
    
        Drama
    
        Fantasy
    
        Horror
    
        Sci-Fi
    
        Thriller",246,Godsend,6900000,"Apr 30, 2004
            -
            Jul 22, 2004",1.7,2323
72,tt2592614,R,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller",339,Resident Evil: The Final Chapter,13601682,"Jan 27, 2017
            -
            Mar 30, 2017",1.78,3104
73,tt7229394,N/A,Action,107,Countdown to Canelo vs. Golovkin,703396,"Sep 16, 2017
            -
            Sep 16, 2017",1.03,465
74,tt2674454,PG,"Biography
    
        Drama
    
        History
    
        War",213,Churchill,408891,"Jun 2, 2017
            -
            Aug 16, 2017",1.75,215
75,tt0402022,PG-13,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller",395,̠on Flux,12661112,"Dec 2, 2005
            -
            Feb 9, 2006",1.55,2608
76,tt0328880,N/A,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",435,Brother Bear,291940,"Oct 24, 2003 (Nov 1, 2003)
            -
            Apr 8, 2004",1.42,3030
77,tt0159365,R,"Adventure
    
        Drama
    
        History
    
        Romance
    
        War",373,Cold Mountain,14500000,"Dec 25, 2003
            -
            Jul 1, 2004",2.57,2802
78,tt0422093,PG-13,"Comedy
    
        Drama
    
        Romance",310,Diary of a Mad Black Woman,21905089,"Feb 25, 2005
            -
            May 19, 2005",1.9300000000000002,1703
79,tt0327056,R,"Crime
    
        Drama
    
        Mystery
    
        Thriller",451,Mystic River,640815,"Oct 8, 2003 (Oct 17, 2003)
            -
            May 23, 2004",2.3,1581
80,tt0293508,PG-13,"Drama
    
        Musical
    
        Romance
    
        Thriller",375,The Phantom of the Opera,4001890,"Dec 22, 2004
            -
            May 12, 2005",2.38,1515
81,tt0338466,PG-13,Comedy,386,Stuck on You,9411055,"Dec 12, 2003
            -
            Mar 18, 2004",1.97,3007
82,tt3922818,PG-13,"Drama
    
        Romance
    
        Sci-Fi",332,The Space Between Us,3775596,"Feb 3, 2017
            -
            Mar 2, 2017",N/A,2812
83,tt3477172,N/A,Drama,209,Restored Me,N/A,"Jun 6, 2016
            -
            Jul 28, 2016",2.25,9
84,tt5143704,R,"Crime
    
        Drama",86,Green is Gold,273,"Oct 7, 2016
            -
            Oct 13, 2016",1.35,1
85,tt3469046,PG,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi",189,Despicable Me 3,72434025,"Jun 30, 2017
            -
            Dec 21, 2017",1.48,4535
86,tt0358082,PG,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi",296,Robots,36045301,"Mar 11, 2005
            -
            Sep 5, 2005",1.52,3776
87,tt2406566,R,"Action
    
        Thriller",157,Atomic Blonde,18286420,"Jul 28, 2017
            -
            Oct 5, 2017",1.92,3326
88,tt3544112,PG-13,"Comedy
    
        Drama
    
        Music
    
        Romance",261,Sing Street,63573,"Apr 15, 2016
            -
            Jul 28, 2016",1.77,525
89,tt0340855,R,"Biography
    
        Crime
    
        Drama
    
        Thriller",374,Monster,86831,"Dec 24, 2003 (Jan 30, 2004)
            -
            Jun 3, 2004",1.8199999999999998,1093
90,tt6086614,N/A,Documentary,213,Letters From Baghdad,19725,"Jun 2, 2017
            -
            Oct 22, 2017",1.58,20
91,tt3014866,R,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller",261,Criminal,5767278,"Apr 15, 2016
            -
            May 26, 2016",1.88,2683
92,tt0356618,PG-13,"Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller",105,The Forgotten,21022111,"Sep 24, 2004
            -
            Nov 21, 2004",1.52,3144
93,tt2582500,PG-13,"Drama
    
        Mystery
    
        Thriller",416,Shut In,3613567,"Nov 11, 2016
            -
            Jan 2, 2017",1.52,2058
94,tt3460252,R,"Crime
    
        Drama
    
        Mystery
    
        Thriller
    
        Western",373,The Hateful Eight,4610676,"Dec 25, 2015 (Dec 30, 2015)
            -
            Apr 28, 2016",2.8,2938
95,tt1781827,R,"Biography
    
        Drama
    
        Sport",128,Hands of Stone,1751388,"Aug 26, 2016
            -
            Oct 13, 2016",1.85,2011
96,tt3716530,R,"Crime
    
        Drama
    
        Thriller",416,Elle,50934,"Nov 11, 2016
            -
            Apr 13, 2017",2.17,209
97,tt5929750,R,"Comedy
    
        Drama",206,Beatriz at Dinner,141959,"Jun 9, 2017 (Jun 30, 2017)
            -
            Oct 5, 2017",1.37,683
98,tt4411596,PG-13,"Drama
    
        Mystery
    
        Romance",206,My Cousin Rachel,969941,"Jun 9, 2017
            -
            Aug 3, 2017",1.77,531
99,tt5126654,N/A,Comedy,115,The Gender Card Flip,2978,"Sep 8, 2017
            -
            Sep 14, 2017",1.33,1
100,tt0340012,R,"Comedy
    
        Drama
    
        Romance",443,Being Julia,122214,"Oct 15, 2004
            -
            Apr 3, 2005",1.73,328
101,tt0362526,R,"Comedy
    
        Crime
    
        Drama
    
        Thriller",113,Criminal,283209,"Sep 10, 2004
            -
            Oct 28, 2004",1.45,90
102,tt0319343,PG,"Comedy
    
        Family
    
        Fantasy
    
        Romance",421,Elf,32100000,"Nov 7, 2003
            -
            Mar 4, 2004",1.62,3381
103,tt0376890,R,"Comedy
    
        Drama
    
        Mystery
    
        Thriller",106,Silver City,337484,"Sep 17, 2004
            -
            Oct 28, 2004",2.13,162
104,tt4514646,PG-13,"Comedy
    
        Drama
    
        Romance",305,"Tim Timmerman, Hope of America",50604,"Mar 2, 2017
            -
            Apr 26, 2017",1.5699999999999998,12
105,tt0408524,PG-13,"Comedy
    
        Sport",163,Bad News Bears,11382472,"Jul 22, 2005
            -
            Sep 29, 2005",1.88,3183
106,tt2402927,R,"Drama
    
        Romance",408,Carol,253510,"Nov 20, 2015 (Jan 15, 2016)
            -
            Mar 31, 2016",1.97,790
107,tt0315983,R,"Crime
    
        Drama",379,House of Sand and Fog,45572,"Dec 19, 2003
            -
            Apr 15, 2004",2.1,598
108,tt0396269,R,"Comedy
    
        Romance",175,Wedding Crashers,32200000,"Jul 15, 2005
            -
            Dec 31, 2005",1.98,3131
109,tt4799050,R,"Comedy
    
        Crime
    
        Thriller",199,Rough Night,8004283,"Jun 16, 2017
            -
            Aug 31, 2017",1.6800000000000002,3162
110,tt5140182,N/A,"Action
    
        Biography
    
        Crime
    
        Drama
    
        Music
    
        Thriller",304,Junction 48,5516,"Mar 3, 2017
            -
            Mar 16, 2017",1.58,2
111,tt5535814,N/A,Documentary,423,Peter and the Farm,3844,"Nov 4, 2016
            -
            Jan 5, 2017",1.52,8
112,tt5881892,PG-13,Drama,101,Elizabeth Blue,2948,"Sep 22, 2017
            -
            Oct 10, 2017",1.58,10
113,tt4929038,N/A,"Adventure
    
        Drama
    
        Mystery",192,The Ornithologist,6132,"Jun 23, 2017
            -
            Sep 14, 2017",1.95,6
114,tt0398165,PG-13,"Comedy
    
        Crime
    
        Sport",219,The Longest Yard,47606480,"May 27, 2005
            -
            Oct 6, 2005",1.88,3654
115,tt0337741,PG-13,"Comedy
    
        Drama
    
        Romance",386,Something's Gotta Give,16064723,"Dec 12, 2003
            -
            Apr 29, 2004",2.13,2876
116,tt0372532,PG-13,"Comedy
    
        Romance",331,The Wedding Date,11129580,"Feb 4, 2005
            -
            Mar 31, 2005",1.5,1704
117,tt4972582,PG-13,"Horror
    
        Thriller",346,Split,40010975,"Jan 20, 2017
            -
            May 11, 2017",1.95,3373
118,tt1754656,PG,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy",324,The Little Prince,116927,"Feb 12, 2016",1.8,163
119,tt4978274,PG-13,"Crime
    
        Drama
    
        Romance
    
        Thriller",84,Priceless,707021,"Oct 14, 2016
            -
            Dec 22, 2016",1.62,303
120,tt4258698,PG-13,"Biography
    
        Drama
    
        History
    
        Romance",128,Southside with You,2868403,"Aug 26, 2016
            -
            Nov 3, 2016",1.4,897
121,tt3682448,PG-13,"Drama
    
        History
    
        Thriller",443,Bridge of Spies,15371203,"Oct 16, 2015
            -
            Mar 10, 2016",2.37,2873
122,tt0399201,PG-13,"Action
    
        Sci-Fi
    
        Thriller",163,The Island,12409070,"Jul 22, 2005
            -
            Sep 8, 2005",2.27,3138
123,tt5804038,PG-13,Documentary,332,I Am Not Your Negro,686378,"Feb 3, 2017
            -
            Jun 8, 2017",1.55,320
124,tt0056883,N/A,Comedy,203,The Boom,8164,"Jun 16, 2017
            -
            Nov 30, 2017",1.47,2
125,tt1179933,PG-13,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller",296,10 Cloverfield Lane,24727437,"Mar 11, 2016
            -
            Jun 2, 2016",1.72,3427
126,tt0377744,R,"Comedy
    
        Drama
    
        Fantasy
    
        Mystery",238,A Day Without a Mexican,628807,"May 14, 2004
            -
            Dec 16, 2004",1.67,107
127,tt0366551,R,"Adventure
    
        Comedy",155,Harold & Kumar Go to White Castle,5200000,"Jul 30, 2004
            -
            Sep 16, 2004",1.47,2163
128,tt0360717,PG-13,"Action
    
        Adventure
    
        Drama
    
        Romance",383,King Kong,50130145,"Dec 14, 2005
            -
            Apr 6, 2006",3.12,3627
129,tt3631112,R,"Crime
    
        Drama
    
        Mystery
    
        Thriller",91,The Girl on the Train,24536265,"Oct 7, 2016
            -
            Dec 29, 2016",1.87,3241
130,tt3841424,R,"Drama
    
        History
    
        War",381,Land of Mine,N/A,"Dec 16, 2016
            -
            May 25, 2017",1.67,40
131,tt6217804,PG-13,"Comedy
    
        Drama
    
        Horror",77,Boo 2! A Madea Halloween,21226953,"Oct 20, 2017
            -
            Dec 14, 2017",1.6800000000000002,2388
132,tt2261287,PG,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Music",311,Leap!,181091,"Feb 24, 2017",1.48,237
133,tt6598626,N/A,"Comedy
    
        Crime",241,Take Me,2583,"May 5, 2017
            -
            May 7, 2017",1.38,2
134,tt0395584,R,Horror,163,The Devil's Rejects,7067335,"Jul 22, 2005
            -
            Aug 25, 2005",1.78,1757
135,tt1972591,PG-13,"Action
    
        Adventure
    
        Drama
    
        Fantasy",234,King Arthur: Legend of the Sword,15371270,"May 12, 2017
            -
            Jul 20, 2017",2.1,3702
136,tt4795124,PG-13,"Comedy
    
        Drama",248,How to Be a Latin Lover,12252439,"Apr 28, 2017
            -
            Jun 22, 2017",1.92,1203
137,tt1615160,R,"Action
    
        Thriller",84,The Foreigner,13113024,"Oct 13, 2017
            -
            Dec 21, 2017",1.88,2515
138,tt2379713,PG-13,"Action
    
        Adventure
    
        Thriller",422,Spectre,70403148,"Nov 6, 2015
            -
            Apr 7, 2016",2.4699999999999998,3929
139,tt2513074,R,"Action
    
        Drama
    
        Sport
    
        Thriller
    
        War",56,Billy Lynn's Long Halftime Walk,114129,"Nov 11, 2016 (Nov 18, 2016)
            -
            Dec 15, 2016",1.88,1176
140,tt2381111,PG-13,"Drama
    
        Romance",424,Brooklyn,187281,"Nov 4, 2015 (Nov 27, 2015)
            -
            May 26, 2016",1.95,962
141,tt0349683,PG-13,"Action
    
        Adventure
    
        Drama
    
        History
    
        War",178,King Arthur,15193907,"Jul 7, 2004
            -
            Oct 14, 2004",2.1,3086
142,tt4190530,R,"Action
    
        Biography
    
        Drama
    
        History
    
        Romance
    
        Thriller
    
        War",142,Anthropoid,1233519,"Aug 12, 2016
            -
            Sep 22, 2016",N/A,452
143,tt3335606,R,"Drama
    
        Horror
    
        Mystery
    
        Thriller",220,Berlin Syndrome,22916,"May 26, 2017
            -
            May 29, 2017",1.9300000000000002,25
144,tt1790809,PG-13,"Action
    
        Adventure
    
        Fantasy",220,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,"May 26, 2017
            -
            Sep 21, 2017",2.15,4276
145,tt4645330,PG-13,"Biography
    
        Drama",98,Denial,93728,"Sep 30, 2016 (Oct 21, 2016)
            -
            Dec 19, 2016",1.8199999999999998,648
146,tt0360139,PG-13,"Comedy
    
        Romance",358,Chasing Liberty,6081483,"Jan 9, 2004
            -
            Mar 4, 2004",1.6800000000000002,2400
147,tt5880296,N/A,"Comedy
    
        Drama",220,Hermia & Helena,12986,"May 26, 2017
            -
            Nov 2, 2017",1.45,4
148,tt0385004,PG-13,"Action
    
        Adventure
    
        Drama
    
        Romance",394,House of Flying Daggers,397472,"Dec 3, 2004 (Jan 14, 2005)
            -
            Apr 7, 2005",1.98,1189
149,tt0351283,PG,"Adventure
    
        Animation
    
        Comedy
    
        Family",219,Madagascar,47224594,"May 27, 2005
            -
            Oct 13, 2005",1.43,4142
150,tt5684466,N/A,"Comedy
    
        Romance",214,A Aa,1213057,"Jun 1, 2016
            -
            Jun 16, 2016",2.5300000000000002,115
151,tt0384642,PG,"Comedy
    
        Family
    
        Romance
    
        Sport",233,Kicking & Screaming,20159925,"May 13, 2005
            -
            Aug 4, 2005",1.58,3470
152,tt0347369,R,"Comedy
    
        Mystery",240,Jiminy Glick in Lalawood,25660,"May 6, 2005
            -
            May 12, 2005",1.5,24
153,tt6265828,R,"Drama
    
        Fantasy
    
        Romance",178,A Ghost Story,104030,"Jul 7, 2017
            -
            Sep 28, 2017",1.53,329
154,tt5840448,N/A,Documentary,473,Rat Film,7793,"Sep 15, 2017
            -
            Mar 4, 2018",1.37,4
155,tt2534634,N/A,"Biography
    
        Drama
    
        History
    
        Sport",529,The Fencer,5572,"Jul 21, 2017
            -
            Jan 18, 2018",1.65,7
156,tt0355295,PG-13,"Action
    
        Adventure
    
        Comedy
    
        Fantasy
    
        Horror
    
        Mystery
    
        Thriller",128,The Brothers Grimm,15093000,"Aug 26, 2005
            -
            Oct 20, 2005",1.97,3098
157,tt0395699,PG,"Action
    
        Comedy
    
        Drama
    
        Family",303,The Pacifier,30552694,"Mar 4, 2005
            -
            Jul 14, 2005",1.58,3181
158,tt3385516,PG-13,"Action
    
        Adventure
    
        Sci-Fi",219,X-Men: Apocalypse,65769562,"May 27, 2016
            -
            Jul 28, 2016",2.4,4153
159,tt2334871,R,"Action
    
        Adventure
    
        Comedy",234,Snatched,19542248,"May 12, 2017
            -
            Aug 3, 2017",1.5,3511
160,tt4158624,PG-13,Drama,241,3 Generations,105215,"May 5, 2017
            -
            May 25, 2017",1.53,37
161,tt3312830,R,"Comedy
    
        Drama
    
        Music
    
        Romance",394,Youth,78085,"Dec 4, 2015
            -
            Mar 10, 2016",2.07,149
162,tt4950110,PG-13,"Biography
    
        Drama",77,I'm Not Ashamed,927161,"Oct 21, 2016
            -
            Dec 1, 2016",1.87,516
163,tt0490215,R,"Drama
    
        History",374,Silence,130880,"Dec 23, 2016 (Jan 13, 2017)
            -
            Feb 23, 2017",2.68,1580
164,tt2932536,PG-13,"Adventure
    
        Drama
    
        Horror
    
        Thriller",199,47 Meters Down,11205561,"Jun 16, 2017
            -
            Oct 19, 2017",1.48,2471
165,tt4721124,R,"Drama
    
        Romance
    
        War",213,The Exception,21351,"Jun 2, 2017
            -
            Aug 31, 2017",1.78,48
166,tt0384680,R,"Comedy
    
        Drama",70,The Weather Man,4248465,"Oct 28, 2005
            -
            Dec 20, 2005",1.7,1510
167,tt4649466,R,"Action
    
        Adventure
    
        Comedy",466,Kingsman: The Golden Circle,39023010,"Sep 22, 2017
            -
            Jan 4, 2018",2.35,4038
168,tt4698584,R,"Biography
    
        Crime
    
        Drama
    
        History
    
        Thriller",381,Neruda,29402,"Dec 16, 2016
            -
            May 11, 2017",1.78,46
169,tt3685624,PG-13,"Comedy
    
        Family",213,3 idiotas,609249,"Jun 2, 2017
            -
            Jun 29, 2017",1.77,349
170,tt5328952,N/A,"Comedy
    
        Drama
    
        Romance",459,Signature Move,18935,"Sep 29, 2017",1.33,2
171,tt2516424,N/A,"Biography
    
        Documentary
    
        History
    
        News",708,Dying to Know: Ram Dass & Timothy Leary,N/A,"Jan 23, 2017",1.58,3
172,tt0320661,R,"Action
    
        Adventure
    
        Drama
    
        History
    
        War",240,Kingdom of Heaven,19635996,"May 6, 2005
            -
            Sep 1, 2005",2.4,3219
173,tt0116866,N/A,"Documentary
    
        Romance
    
        War",1,Level Five,7161,"Aug 15, 2014",1.77,2
174,tt0304141,PG,"Adventure
    
        Family
    
        Fantasy
    
        Mystery",217,Harry Potter and the Prisoner of Azkaban,93687367,"Jun 4, 2004
            -
            Dec 19, 2004",2.37,3855
175,tt3172126,N/A,"Comedy
    
        Drama
    
        Sport",170,Undrafted,3829,"Jul 15, 2016
            -
            Jul 21, 2016",1.5,20
176,tt3531176,N/A,"Documentary
    
        Family
    
        History",410,Big Sonia,4398,"Nov 17, 2017
            -
            May 17, 2018",1.55,4
177,tt0330373,PG-13,"Adventure
    
        Family
    
        Fantasy
    
        Mystery",409,Harry Potter and the Goblet of Fire,102685961,"Nov 18, 2005
            -
            Apr 6, 2006",2.62,3858
